#Position (bp)	mapping quality
8.18395923E8	59.933449242386324
8.24572496E8	59.995723682831425
8.30749069E8	59.21575871332733
8.36925642E8	59.30757532864783
8.43102215E8	59.850854737422914
8.49278788E8	59.97080287345652
8.55455361E8	58.65712189136248
8.61631934E8	59.70875909256604
8.67808507E8	59.997068551643274
8.7398508E8	59.58401360234133
8.78366716E8	42.00756428366234
8.814550025E8	55.313231672263086
8.86338226E8	59.93810802084487
8.92514799E8	59.958561015508074
8.98691372E8	59.39307302007501
9.04867945E8	55.51441498464496
9.11044518E8	59.947109004902266
9.17221091E8	59.922758450139
9.23397664E8	59.614286384262904
9.29574237E8	58.99101530292536
9.3575081E8	59.95055761141416
9.41927383E8	59.7641449907307
9.48103956E8	44.436850390140236
9.54280529E8	59.827237263022546
9.60457102E8	59.418884917615756
9.66633675E8	59.7435674813068
9.72810248E8	59.80298893379292
9.78986821E8	59.995895551269875
9.85163394E8	59.475198832520945
9.91339967E8	59.965802641542915
9.9751654E8	59.64936792978787
1.003693113E9	59.86888870706443
1.009869686E9	59.96524590494059
1.016046259E9	59.83010894422057
1.022222832E9	56.02260637224997
1.028399405E9	59.96637061562079
1.034575978E9	59.73473638092659
1.040752551E9	59.83982584342704
1.046929124E9	59.85307556950796
1.053105697E9	57.27049862335999
1.058696154E9	58.98630702591431
1.0617844405E9	59.99804049870539
1.065458843E9	57.91148426627844
1.071635416E9	59.96230834201587
1.077811989E9	59.964170639814064
1.083988562E9	59.99430225312063
1.090165135E9	51.549253847404614
1.096341708E9	59.6922465294966
1.102518281E9	59.760297381083575
1.108694854E9	59.814261190238966
1.114871427E9	59.72546246758112
1.121048E9	54.75731365886263
1.127224573E9	59.975464855701865
1.133401146E9	59.78012762888675
1.139577719E9	59.99682320328204
1.145754292E9	59.86200345471803
1.151930865E9	59.85919643364834
1.158107438E9	59.99547845295298
1.164284011E9	59.93096801499964
1.170460584E9	59.44956990409711
1.176637157E9	59.6629299150798
1.18281373E9	59.767231488136545
1.188990303E9	59.99568373992904
1.195166876E9	54.0979250358122
1.201343449E9	59.99599337783655
1.207520022E9	59.996565748205484
1.213696595E9	58.62836043887755
1.219873168E9	51.14348113030088
1.226049741E9	59.74935625485589
1.2305711655E9	59.410898816653415
1.233659452E9	59.987114237047656
1.238402887E9	41.7857892232501
1.24457946E9	59.439173624068935
1.250756033E9	59.982683594247824
1.256932606E9	59.14976652766342
1.263109179E9	57.966840254715684
1.269285752E9	58.36292044181978
1.275462325E9	58.300399610817095
1.281638898E9	59.95850500416556
1.287815471E9	55.400174698575675
1.293992044E9	58.89934983167229
1.300168617E9	52.52618974192107
1.30634519E9	40.007324677348336
1.312521763E9	59.99469713523748
1.318698336E9	59.530494041281344
1.324874909E9	59.506757114164685
1.331051482E9	52.66130831020787
1.337228055E9	48.66481066355915
1.343404628E9	59.72818557969801
1.349581201E9	59.53644957833468
1.355757774E9	59.749073928536845
1.361934347E9	59.04283928051865
1.36811092E9	59.604840136929916
1.374287493E9	39.260307993246954
1.380464066E9	59.17728263016881
1.386640639E9	56.33872637963646
1.390539601E9	59.99684267690481
1.3936278875E9	58.99523073748073
1.398993785E9	38.098564525405365
1.405170358E9	49.450481193741155
1.411346931E9	59.90990531605094
1.417523504E9	59.66344194439337
1.423700077E9	59.32081765935445
1.42987665E9	59.921345667456734
1.436053223E9	59.902014199870834
1.442229796E9	59.86483021997139
1.448406369E9	59.06522601423802
1.454582942E9	59.992355329068566
1.460759515E9	59.732816664546185
1.466936088E9	59.113628848334216
1.473112661E9	59.78824024498479
1.479289234E9	59.85385561520296
1.485465807E9	59.85988550725087
1.49164238E9	59.75129602748654
1.497818953E9	59.85160387220531
1.503995526E9	59.99751665330434
1.510172099E9	59.98521956449251
1.516348672E9	59.56569600122764
1.522525245E9	59.9945724164557
1.528701818E9	59.99634918489424
1.5341395085E9	58.39831026997863
1.537227795E9	44.60972329803381
1.541054964E9	59.677597277670934
1.547231537E9	59.99710147882143
1.55340811E9	58.903413337423196
1.559584683E9	52.71194873058697
1.565761256E9	59.99653413564939
