#Position (bp)	insert size
2.220477994E9	165.69286343295653
2.226654567E9	165.74841754266984
2.23283114E9	165.12175630780283
2.239007713E9	165.6269040724274
2.245184286E9	166.14998287972313
2.251360859E9	166.0416466795863
2.257537432E9	165.49328132581837
2.263714005E9	166.05541702137276
2.269890578E9	165.8308506387025
2.276067151E9	157.3887463930747
2.282243724E9	166.0404847612191
2.288420297E9	165.745844131218
2.29459687E9	164.8648563352452
2.2980680925E9	164.15412655920716
2.301156379E9	0.0
2.306950016E9	0.0
2.313126589E9	156.342776203966
2.319303162E9	843.6194667305313
2.325479735E9	881.8596808824149
2.331656308E9	165.20054874246517
2.337832881E9	497.7125809906991
2.344009454E9	166.5773702551065
2.350186027E9	166.43991685792233
2.3563626E9	278.64370560496627
2.362539173E9	165.47726714869802
2.368715746E9	165.94822458328153
2.374892319E9	165.16278557470244
2.381068892E9	165.39882065693095
2.387245465E9	166.68943441024336
2.393422038E9	453.2389392324094
2.398476271E9	166.03295471812794
2.4015645575E9	166.02844662844663
2.405775184E9	165.88700102944998
2.411951757E9	165.3559339226199
2.41812833E9	165.22129084226955
2.424304903E9	165.85080188849244
2.430481476E9	793.7309725909927
2.436658049E9	2712.3707332884533
2.442834622E9	0.0
2.449011195E9	165.60251931255968
2.455187768E9	165.6559060467825
2.461364341E9	165.67234496335996
2.467540914E9	166.14501598372567
2.473717487E9	166.11804476578726
2.47989406E9	165.8886295837815
2.486070633E9	164.4621246738698
2.489969741E9	166.41249331669934
2.4930580275E9	165.9243279547039
2.498423779E9	165.9709456975839
2.504600352E9	885.623163969673
2.510776925E9	528.9396058063656
2.516953498E9	191.18331058951966
2.523130071E9	486.8673803578008
2.529306644E9	264.36846513939435
2.535483217E9	165.80020716764642
2.54165979E9	166.32984023363684
2.547836363E9	166.01515353471402
2.554012936E9	165.74122865549475
2.560189509E9	166.12737819025523
2.566366082E9	165.84705244445664
2.571746186E9	165.73778991713345
2.5748344725E9	3268.6335833591093
2.578719228E9	874.5711997844699
2.584895801E9	165.41158043987207
2.591072374E9	164.7752143887076
2.597248947E9	166.022594668203
2.60342552E9	166.34455629014275
2.609602093E9	165.87626975686678
2.615778666E9	164.00837126563073
2.621955239E9	165.4347241859952
2.628131812E9	165.24794339068833
2.634308385E9	165.79381949904527
2.640484958E9	166.03204476093592
2.646661531E9	166.14596815337933
2.652080553E9	165.4081674393237
2.6551688395E9	166.03437557140245
2.659014677E9	575.5497957443594
2.66519125E9	164.75134659900286
2.671367823E9	165.87715958186737
2.677544396E9	161.4756681929507
2.683720969E9	163.72948934877869
2.689897542E9	165.17279475043028
2.696074115E9	165.9709107640398
2.702250688E9	165.85238099905897
2.708427261E9	166.5260782421498
2.712272226E9	165.95556104363996
2.7153605125E9	164.90581525216052
2.720780407E9	165.06059661305179
2.72695698E9	687.9451454692634
2.733133553E9	826.634786390151
2.739310126E9	380.0772912023076
2.745486699E9	165.54383920159123
2.751663272E9	165.95906005710808
2.757839845E9	166.13108621805242
2.764016418E9	247.3022902850892
2.770192991E9	165.6784339921293
2.7753771745E9	165.82394768763157
2.778465461E9	0.0
