gene_id	Regulation	Type
ANGPTL1	down	mRNA
IFI27	down	mRNA
RPL37	down	mRNA
NDUFS4	down	mRNA
MGLL	up	mRNA
ETV5	up	mRNA
PGD	up	mRNA
CRACR2B	down	mRNA
GBP4	down	mRNA
AFAP1L1	up	mRNA
ISG15	down	mRNA
KLF4	up	mRNA
PRR29	down	mRNA
AGFG2	down	mRNA
PARP10	down	mRNA
GIMAP2	down	mRNA
TMEM154	up	mRNA
TBC1D2	up	mRNA
PTGS1	down	mRNA
RPL27	down	mRNA
COX7A1	down	mRNA
TMCC2	up	mRNA
BGN	down	mRNA
PRDX4	down	mRNA
NDUFB6	down	mRNA
INHBB	down	mRNA
SRP14	down	mRNA
CCL7	down	mRNA
TRAPPC4	down	mRNA
RUNX1	up	mRNA
NDUFA1	down	mRNA
GRIP2	down	mRNA
IL1RL1	down	mRNA
MOV10	down	mRNA
OLFML3	down	mRNA
NDUFA6	down	mRNA
SLC1A5	up	mRNA
TNFRSF11B	up	mRNA
ITPKB	up	mRNA
ZNF469	up	mRNA
OGFR	down	mRNA
ATP5MD	down	mRNA
FASN	up	mRNA
ATP5MPL	down	mRNA
CDK6	up	mRNA
SAMD9	down	mRNA
CCL20	up	mRNA
HSPB11	down	mRNA
AARS	up	mRNA
ZHX2	up	mRNA
NAXE	down	mRNA
GNG11	down	mRNA
MRPL17	down	mRNA
MMP28	down	mRNA
FMNL3	up	mRNA
HK1	up	mRNA
RANBP1	down	mRNA
ATP5MC3	down	mRNA
ACO1	up	mRNA
ELL2	up	mRNA
CKS2	down	mRNA
FADS2	up	mRNA
TRIM21	down	mRNA
BOLA3	down	mRNA
RPS13	down	mRNA
SLC38A1	up	mRNA
NDUFC1	down	mRNA
ETV7	down	mRNA
EDNRB	down	mRNA
H2AFZ	down	mRNA
NOL4L	up	mRNA
DECR1	down	mRNA
LGMN	down	mRNA
REXO2	down	mRNA
HMGN2	down	mRNA
GEM	up	mRNA
CCND1	up	mRNA
RPS7	down	mRNA
NEDD4L	up	mRNA
GOLM1	down	mRNA
DOCK10	up	mRNA
TMEM158	up	mRNA
TRIM14	down	mRNA
ETS2	up	mRNA
WSB1	down	mRNA
SNTB1	up	mRNA
CTH	up	mRNA
LYVE1	down	mRNA
FBXO32	up	mRNA
SEC61B	down	mRNA
UQCC2	down	mRNA
HINT1	down	mRNA
LPAR6	down	mRNA
C6orf223	up	mRNA
SLC6A9	up	mRNA
RPL26L1	down	mRNA
SCARF2	up	mRNA
FAM229B	down	mRNA
NFKBIZ	up	mRNA
POLR2F	down	mRNA
DOCK8	up	mRNA
PMAIP1	up	mRNA
NDUFAB1	down	mRNA
TRIM69	down	mRNA
F2RL2	down	mRNA
LDB2	down	mRNA
NIBAN1	up	mRNA
AKAP13	up	mRNA
RPL29	down	mRNA
CISD3	down	mRNA
NCOR2	up	mRNA
MRPL24	down	mRNA
IARS	up	mRNA
CMPK2	down	mRNA
HOXD3	down	mRNA
SIVA1	down	mRNA
RPL35A	down	mRNA
PIF1	down	mRNA
