gene_id	Regulation	Type
TRIM5	down	mRNA
LMCD1	up	mRNA
CRHBP	up	mRNA
SERPINB2	down	mRNA
BBC3	up	mRNA
GABBR2	down	mRNA
DPYSL4	up	mRNA
AK4	up	mRNA
IFIH1	down	mRNA
DYNLT1	down	mRNA
COX6C	down	mRNA
COX17	down	mRNA
BMF	up	mRNA
MAMDC2	up	mRNA
ADM2	up	mRNA
GDF5	up	mRNA
RPS7	down	mRNA
RPL26L1	down	mRNA
STEAP1	down	mRNA
CCL20	down	mRNA
RPL31	down	mRNA
CXCL10	down	mRNA
SLIRP	down	mRNA
RPS3A	down	mRNA
ATP5F1E	down	mRNA
GBP4	down	mRNA
FMO2	up	mRNA
ADAMTS15	up	mRNA
GPAT3	down	mRNA
RPL23	down	mRNA
MLKL	down	mRNA
TNFRSF11A	down	mRNA
SEC61G	down	mRNA
LGALS9	down	mRNA
COX7C	down	mRNA
BMPER	down	mRNA
MRPS36	down	mRNA
RUNX1T1	up	mRNA
BOLA3	down	mRNA
SERTAD4	up	mRNA
TENT5A	down	mRNA
SHFL	down	mRNA
SMAD6	down	mRNA
HSPB11	down	mRNA
ID3	down	mRNA
IFI44L	down	mRNA
PLPP4	down	mRNA
EEF1B2	down	mRNA
IFI44	down	mRNA
TMEM126A	down	mRNA
UBE2T	down	mRNA
RPS25	down	mRNA
RPL21	down	mRNA
TPRKB	down	mRNA
RPL37	down	mRNA
UQCRH	down	mRNA
RPS27A	down	mRNA
GEMIN6	down	mRNA
RPL9	down	mRNA
SHISA3	down	mRNA
CCDC58	down	mRNA
ATOH8	down	mRNA
RPL41	down	mRNA
COMMD6	down	mRNA
PTGS2	down	mRNA
PARP14	down	mRNA
IFIT5	down	mRNA
TMEM119	up	mRNA
PIN4	down	mRNA
EIF2AK2	down	mRNA
SNRPG	down	mRNA
GDF7	up	mRNA
NDUFA4	down	mRNA
RPL39	down	mRNA
COX7A2	down	mRNA
PFDN5	down	mRNA
RPS27	down	mRNA
ANXA10	down	mRNA
DDX60	down	mRNA
CENPW	down	mRNA
TXNDC17	down	mRNA
CKS2	down	mRNA
C1orf54	down	mRNA
RPS29	down	mRNA
PNPT1	down	mRNA
KIAA1211L	up	mRNA
NDUFA6	down	mRNA
SLC15A3	down	mRNA
RPS21	down	mRNA
NTN1	up	mRNA
RTKN2	up	mRNA
RPL35A	down	mRNA
SNRPE	down	mRNA
FBXO6	down	mRNA
HLA-F	down	mRNA
ALDH1A3	down	mRNA
TIMM8B	down	mRNA
DLX2	down	mRNA
COX14	down	mRNA
FRMD3	down	mRNA
RPS12	down	mRNA
LSM3	down	mRNA
DDX58	down	mRNA
RIPOR3	down	mRNA
OTOGL	down	mRNA
RARB	down	mRNA
MPP7	up	mRNA
SNCB	up	mRNA
ID4	down	mRNA
TMEM158	up	mRNA
APOBEC3G	down	mRNA
SPON2	up	mRNA
ATP5MPL	down	mRNA
NDUFA1	down	mRNA
NOP10	down	mRNA
LYPD1	down	mRNA
ADAMTS9	down	mRNA
RPL24	down	mRNA
IL34	up	mRNA
NDUFB6	down	mRNA
MND1	down	mRNA
LMO2	down	mRNA
NDUFS5	down	mRNA
RTP4	down	mRNA
TOMM7	down	mRNA
PADI2	up	mRNA
RPS20	down	mRNA
RPL37A	down	mRNA
MTLN	down	mRNA
RRAD	up	mRNA
SLCO4A1	down	mRNA
IL1A	down	mRNA
SAMD9	down	mRNA
TLR3	down	mRNA
XAF1	down	mRNA
HINT1	down	mRNA
LY96	down	mRNA
STOX2	up	mRNA
ISG20	down	mRNA
RPL12	down	mRNA
MED31	down	mRNA
RPS13	down	mRNA
TNFSF10	down	mRNA
COLEC10	down	mRNA
HOPX	down	mRNA
DNAH8	up	mRNA
DDX60L	down	mRNA
PRRX2	down	mRNA
TMEM170B	up	mRNA
RPL38	down	mRNA
RPL27	down	mRNA
RPS14	down	mRNA
RPL32	down	mRNA
RPS18	down	mRNA
KCNS2	down	mRNA
MAL2	down	mRNA
ETV7	down	mRNA
TNFSF13B	down	mRNA
CAMK2B	down	mRNA
CNTN1	up	mRNA
CXCL11	down	mRNA
UBL5	down	mRNA
TNFSF18	down	mRNA
EHF	down	mRNA
CNR1	down	mRNA
PDE4B	down	mRNA
PIK3C2B	up	mRNA
SNRPD2	down	mRNA
C3AR1	down	mRNA
NMNAT2	down	mRNA
