gene_id	Regulation	Type
LSS	up	mRNA
RPS7	down	mRNA
RPL26L1	down	mRNA
PACS1	up	mRNA
MGP	down	mRNA
C1GALT1C1	down	mRNA
LAPTM4A	down	mRNA
ENY2	down	mRNA
ZYX	up	mRNA
MMRN1	down	mRNA
RNASE1	down	mRNA
SUB1	down	mRNA
HDAC5	up	mRNA
FBRS	up	mRNA
NT5E	down	mRNA
TOM1	up	mRNA
SLC38A7	up	mRNA
TNIP1	up	mRNA
RPLP0	down	mRNA
TDRD7	down	mRNA
TRIB3	up	mRNA
SDHB	down	mRNA
CHST3	up	mRNA
AP5Z1	up	mRNA
RPL31	down	mRNA
TLE3	up	mRNA
ATP5PB	down	mRNA
SESN2	up	mRNA
CNIH4	down	mRNA
HMGN2	down	mRNA
MRPS14	down	mRNA
TRPV4	up	mRNA
RCN3	up	mRNA
RPS6	down	mRNA
PLEKHG2	up	mRNA
EIF3M	down	mRNA
SOX17	up	mRNA
COLGALT1	up	mRNA
CLCN7	up	mRNA
SPATS2L	down	mRNA
BAIAP2	up	mRNA
ALS2CL	up	mRNA
RBX1	down	mRNA
ZBTB45	up	mRNA
C1QBP	down	mRNA
NDUFA6	down	mRNA
RUSC2	up	mRNA
BCL6	up	mRNA
OTOF	down	mRNA
NDUFB6	down	mRNA
SIPA1	up	mRNA
MRPS23	down	mRNA
SDHD	down	mRNA
TIMM8B	down	mRNA
SMIM30	down	mRNA
PIN4	down	mRNA
EML3	up	mRNA
ABCB8	up	mRNA
NFU1	down	mRNA
ICAM2	down	mRNA
HMGN3	down	mRNA
CACYBP	down	mRNA
LRP3	up	mRNA
CNBP	down	mRNA
FBXO6	down	mRNA
PNPLA3	up	mRNA
TECR	up	mRNA
SRC	up	mRNA
SLC43A2	up	mRNA
HOXB9	up	mRNA
KDM6B	up	mRNA
FAM124B	down	mRNA
AKT1S1	up	mRNA
SHROOM4	up	mRNA
CAVIN2	down	mRNA
STK11IP	up	mRNA
RPL7A	down	mRNA
HMGB1	down	mRNA
SOD1	down	mRNA
ST3GAL1	up	mRNA
DBN1	up	mRNA
TCEAL1	down	mRNA
EIF3H	down	mRNA
MAP1LC3A	up	mRNA
ZNF628	up	mRNA
EIF3E	down	mRNA
MYO1D	up	mRNA
VARS	up	mRNA
RPS13	down	mRNA
PIGQ	up	mRNA
GAK	up	mRNA
TPRKB	down	mRNA
RPL14	down	mRNA
MGST2	down	mRNA
SUMO1	down	mRNA
JAG2	up	mRNA
BTF3	down	mRNA
PTDSS2	up	mRNA
VAC14	up	mRNA
MICAL1	up	mRNA
GRINA	up	mRNA
PLAC8	down	mRNA
GTF2B	down	mRNA
SERPING1	down	mRNA
LAMP3	down	mRNA
TRAFD1	down	mRNA
SNX8	up	mRNA
DSP	down	mRNA
SLC7A5	up	mRNA
MAPKBP1	up	mRNA
PARP4	down	mRNA
RAN	down	mRNA
UBE2C	down	mRNA
PBK	down	mRNA
TMEM14C	down	mRNA
DCTN6	down	mRNA
ABCG2	down	mRNA
ATXN2L	up	mRNA
TNKS1BP1	up	mRNA
BCL6B	up	mRNA
DNAJA1	down	mRNA
CSF1	up	mRNA
CLSTN3	up	mRNA
KLHL21	up	mRNA
SPATA2L	up	mRNA
NUDCD2	down	mRNA
CPTP	up	mRNA
MGST3	down	mRNA
WASHC3	down	mRNA
PCYT2	up	mRNA
MRPL15	down	mRNA
EMC2	down	mRNA
TMEM126B	down	mRNA
EPHX1	up	mRNA
BCL2L11	up	mRNA
PPARD	up	mRNA
POLRMT	up	mRNA
TBCA	down	mRNA
STC1	up	mRNA
TBC1D16	up	mRNA
JAK3	up	mRNA
BAG1	down	mRNA
ULK1	up	mRNA
SLC25A28	down	mRNA
FMNL3	up	mRNA
ADGRG6	down	mRNA
FBXW5	up	mRNA
DAPK3	up	mRNA
RAB11B	up	mRNA
FOSL1	up	mRNA
HUWE1	up	mRNA
HDAC7	up	mRNA
SKA2	down	mRNA
C4orf33	down	mRNA
CD47	down	mRNA
PLSCR4	down	mRNA
SSB	down	mRNA
SLC3A2	up	mRNA
CHCHD1	down	mRNA
FLYWCH1	up	mRNA
MAPK8IP3	up	mRNA
MRPL36	down	mRNA
MZF1	up	mRNA
KCTD13	up	mRNA
ANXA2	down	mRNA
STK10	up	mRNA
CASP10	down	mRNA
PSMG2	down	mRNA
HIKESHI	down	mRNA
GCNT1	down	mRNA
C15orf39	up	mRNA
RPL6	down	mRNA
RPS6KA2	up	mRNA
GIPC3	up	mRNA
MRPL16	down	mRNA
NPRL3	up	mRNA
H3F3A	down	mRNA
G6PD	up	mRNA
OSGIN1	up	mRNA
PDIA4	down	mRNA
PLXNA1	up	mRNA
DHCR24	up	mRNA
MAP3K11	up	mRNA
FBRSL1	up	mRNA
FBXO32	up	mRNA
ZBTB40	up	mRNA
TPD52	down	mRNA
TOMM22	down	mRNA
MAGOH	down	mRNA
APOL6	down	mRNA
SLC1A5	up	mRNA
ATP13A1	up	mRNA
LTB	up	mRNA
INTS1	up	mRNA
CEACAM19	up	mRNA
TGFB1	up	mRNA
HPRT1	down	mRNA
RPL22L1	down	mRNA
ANXA3	down	mRNA
RFK	down	mRNA
TMEM140	down	mRNA
SNU13	down	mRNA
SBNO2	up	mRNA
KLRG1	down	mRNA
TXN	down	mRNA
MAVS	up	mRNA
CPA3	down	mRNA
PGF	up	mRNA
TMEM204	up	mRNA
SHANK3	up	mRNA
NSMF	up	mRNA
SART1	up	mRNA
ZMIZ2	up	mRNA
WDR81	up	mRNA
RPS24	down	mRNA
BSG	up	mRNA
