gene_id	Regulation	Type
NDUFS5	down	mRNA
TMEM70	down	mRNA
NSL1	down	mRNA
SHKBP1	up	mRNA
CAMTA1	down	mRNA
SLC16A1	down	mRNA
C17orf58	down	mRNA
CROCC	up	mRNA
SYMPK	up	mRNA
TRMT112	down	mRNA
EXOSC1	down	mRNA
LGALS3	down	mRNA
PAK4	up	mRNA
LSM10	down	mRNA
IL4R	up	mRNA
UQCRFS1	down	mRNA
CHD3	up	mRNA
MRPL17	down	mRNA
TMEM94	up	mRNA
MCTS1	down	mRNA
COMMD10	down	mRNA
MAP4K4	up	mRNA
TIMM23	down	mRNA
BST2	down	mRNA
APBA3	up	mRNA
SCARB2	down	mRNA
CDKN1C	up	mRNA
SUPT6H	up	mRNA
ACP1	down	mRNA
CBR1	down	mRNA
LONP1	up	mRNA
SCAMP5	up	mRNA
SERINC2	up	mRNA
PARK7	down	mRNA
NOC4L	up	mRNA
ATG2A	up	mRNA
PLEKHM2	up	mRNA
TRMT1	up	mRNA
SEC61B	down	mRNA
TRAPPC4	down	mRNA
SPTBN2	up	mRNA
COPS5	down	mRNA
TMEM50A	down	mRNA
ATP6V1G1	down	mRNA
MRPL50	down	mRNA
OBSL1	up	mRNA
ISCU	down	mRNA
SLC29A4	up	mRNA
MRPS33	down	mRNA
PPIB	down	mRNA
ATRAID	down	mRNA
TMEM63B	up	mRNA
RWDD1	down	mRNA
RELB	up	mRNA
CTIF	up	mRNA
MBD3	up	mRNA
EXTL3	up	mRNA
PRDX1	down	mRNA
ANGPTL1	down	mRNA
TOMM7	down	mRNA
BLOC1S2	down	mRNA
LGMN	down	mRNA
EPN1	up	mRNA
PPA2	down	mRNA
HSPB11	down	mRNA
RHBDD2	up	mRNA
RPL23A	down	mRNA
SUPT5H	up	mRNA
PPP1R13L	up	mRNA
FOSB	up	mRNA
SNRPB2	down	mRNA
AMDHD2	up	mRNA
NPC2	down	mRNA
OAS3	down	mRNA
DHX34	up	mRNA
NRN1	down	mRNA
RPS4X	down	mRNA
HTT	up	mRNA
ZNF865	up	mRNA
CMTM7	up	mRNA
NOVA2	up	mRNA
DAD1	down	mRNA
ZDHHC1	up	mRNA
SLC26A11	up	mRNA
ARHGDIA	up	mRNA
FAM160B2	up	mRNA
NAV1	up	mRNA
USP18	down	mRNA
NFYB	down	mRNA
ZNF335	up	mRNA
MRPS16	down	mRNA
PLCG1	up	mRNA
MMADHC	down	mRNA
HGS	up	mRNA
NDUFA1	down	mRNA
BTBD2	up	mRNA
NEDD4L	up	mRNA
MEGF8	up	mRNA
ADAMTS10	up	mRNA
CCNB2	down	mRNA
CWC15	down	mRNA
CORO7	up	mRNA
TBCD	up	mRNA
ARHGEF10L	up	mRNA
SOGA1	up	mRNA
TPBGL	up	mRNA
LPAR6	down	mRNA
FADS1	up	mRNA
F2RL2	down	mRNA
CRBN	down	mRNA
CCDC90B	down	mRNA
JAK2	down	mRNA
CRIPT	down	mRNA
ZNF219	up	mRNA
SAMD1	up	mRNA
GMIP	up	mRNA
FAM162A	down	mRNA
USF2	up	mRNA
ATP6V0A1	up	mRNA
UBALD1	up	mRNA
IRF7	down	mRNA
NDUFAF2	down	mRNA
PIP5K1C	up	mRNA
ANXA4	down	mRNA
PAICS	down	mRNA
LIFR	down	mRNA
HMGB2	down	mRNA
HAT1	down	mRNA
PRDX4	down	mRNA
MFAP2	up	mRNA
DYSF	up	mRNA
CD164	down	mRNA
MOB3A	up	mRNA
WDTC1	up	mRNA
PRKCSH	up	mRNA
VRK1	down	mRNA
C4orf3	down	mRNA
FUNDC2	down	mRNA
TMEM230	down	mRNA
NOL4L	up	mRNA
RPS27A	down	mRNA
RPL32	down	mRNA
JDP2	up	mRNA
MAFG	up	mRNA
GRIP2	down	mRNA
TSC2	up	mRNA
CRYBG1	down	mRNA
GIPC2	down	mRNA
PSMD14	down	mRNA
UNC13A	up	mRNA
PFDN1	down	mRNA
TNFRSF25	up	mRNA
FAM241A	down	mRNA
VDAC3	down	mRNA
ST3GAL6	up	mRNA
FAM171A2	up	mRNA
NDUFC1	down	mRNA
RPL9	down	mRNA
CLDN23	down	mRNA
PDCD10	down	mRNA
INPPL1	up	mRNA
FGF2	down	mRNA
EMC4	down	mRNA
CYP27A1	up	mRNA
MCRIP1	up	mRNA
ATP5MPL	down	mRNA
DMPK	up	mRNA
AMPD2	up	mRNA
PLK3	up	mRNA
GADD45A	down	mRNA
CPXM1	up	mRNA
NDUFS3	down	mRNA
ZCRB1	down	mRNA
PSMC2	down	mRNA
TMEM161A	up	mRNA
MS4A6A	down	mRNA
RRP12	up	mRNA
WDR61	down	mRNA
EMC7	down	mRNA
PRKAR2B	down	mRNA
TXNDC17	down	mRNA
DUT	down	mRNA
SLIRP	down	mRNA
THOC7	down	mRNA
COX7A2L	down	mRNA
ZSWIM8	up	mRNA
HIST3H2A	down	mRNA
FYTTD1	down	mRNA
AQP1	down	mRNA
TECPR1	up	mRNA
PSIP1	down	mRNA
IRGQ	up	mRNA
SNAI1	up	mRNA
MRPL19	down	mRNA
CLIP2	up	mRNA
USP15	down	mRNA
METTL7A	down	mRNA
SNX2	down	mRNA
SKAP1	down	mRNA
BHLHE40	up	mRNA
CBARP	up	mRNA
SYF2	down	mRNA
RAPGEF3	up	mRNA
GTF3A	down	mRNA
NFATC4	up	mRNA
ZNF444	up	mRNA
SEC11A	down	mRNA
IL1RL1	down	mRNA
RPS14	down	mRNA
SBDS	down	mRNA
MGST1	down	mRNA
CIC	up	mRNA
LGALS3BP	down	mRNA
LHFPL6	down	mRNA
GPN3	down	mRNA
RIN3	up	mRNA
TNF	up	mRNA
UBE2V2	down	mRNA
SNRPC	down	mRNA
PLD2	up	mRNA
DIAPH2	up	mRNA
RPS11	down	mRNA
POMT2	up	mRNA
VWA1	up	mRNA
ARHGAP27	up	mRNA
ZNF775	up	mRNA
PPP1R13B	up	mRNA
SEMA6C	up	mRNA
IKBIP	down	mRNA
RPS29	down	mRNA
RNF7	down	mRNA
TBL3	up	mRNA
TXNIP	down	mRNA
ATOH8	up	mRNA
NUDT5	down	mRNA
SPRED3	up	mRNA
BCCIP	down	mRNA
GRIN2D	up	mRNA
RAD51C	down	mRNA
SELENOW	down	mRNA
HSD17B11	down	mRNA
UFC1	down	mRNA
C1orf54	down	mRNA
REXO2	down	mRNA
VLDLR	down	mRNA
EXOC6	down	mRNA
MCOLN1	up	mRNA
INHBB	down	mRNA
MYL12B	down	mRNA
CMC1	down	mRNA
PUS7	down	mRNA
CORO6	up	mRNA
XPA	down	mRNA
EDC3	up	mRNA
SNAPC5	down	mRNA
ZWINT	down	mRNA
FILIP1	down	mRNA
PIEZO1	up	mRNA
SPCS2	down	mRNA
ZNF316	up	mRNA
CSTF3	down	mRNA
TMCC2	up	mRNA
ZC3H18	up	mRNA
SNX6	down	mRNA
ZER1	up	mRNA
ATAD3A	up	mRNA
CLEC2B	down	mRNA
ADAMTS4	up	mRNA
ZNF777	up	mRNA
UBE2T	down	mRNA
RPS12	down	mRNA
TMCO1	down	mRNA
FKBP7	down	mRNA
SPOP	down	mRNA
TAF9	down	mRNA
SLC16A4	down	mRNA
PSMD6	down	mRNA
CAV2	down	mRNA
LRIG3	down	mRNA
RPS16	down	mRNA
SSBP1	down	mRNA
SGPP2	up	mRNA
SNAPC4	up	mRNA
GIMAP1	down	mRNA
SEPTIN7	down	mRNA
KCTD12	down	mRNA
MED21	down	mRNA
CENPH	down	mRNA
ARHGEF40	up	mRNA
AP1S2	down	mRNA
RSU1	down	mRNA
LIMA1	down	mRNA
ZNF703	up	mRNA
TMX1	down	mRNA
PHLDB3	up	mRNA
NINL	up	mRNA
TMEM8B	up	mRNA
MRC2	up	mRNA
POGLUT3	down	mRNA
RPL10	down	mRNA
WDR24	up	mRNA
VBP1	down	mRNA
SLC40A1	down	mRNA
SPC25	down	mRNA
COPS8	down	mRNA
DPP7	up	mRNA
MPC2	down	mRNA
RBM7	down	mRNA
CCDC22	up	mRNA
TNFRSF9	up	mRNA
RPE	down	mRNA
SNRNP40	down	mRNA
SNRNP27	down	mRNA
ENGASE	up	mRNA
FN3K	up	mRNA
HES1	down	mRNA
RPL34	down	mRNA
PEX6	up	mRNA
BICRA	up	mRNA
ZNF277	down	mRNA
POLE4	down	mRNA
BTC	down	mRNA
KLF16	up	mRNA
MRPL3	down	mRNA
NDC80	down	mRNA
C14orf119	down	mRNA
COMMD1	down	mRNA
ARHGAP28	down	mRNA
TRAPPC9	up	mRNA
MPLKIP	down	mRNA
PGAM1	down	mRNA
SIK2	up	mRNA
IFI27	down	mRNA
ZC3H15	down	mRNA
BCAS2	down	mRNA
RNF24	up	mRNA
SLC16A13	up	mRNA
AKAP13	up	mRNA
STARD3NL	down	mRNA
TLE2	up	mRNA
CAMLG	down	mRNA
SNRPD2	down	mRNA
COQ2	down	mRNA
ADCK5	up	mRNA
DUSP4	up	mRNA
RPF1	down	mRNA
RPL19	down	mRNA
IL17RA	up	mRNA
MRPL58	down	mRNA
ANAPC13	down	mRNA
TMEM201	up	mRNA
GEMIN6	down	mRNA
HSH2D	down	mRNA
TMEM9B	down	mRNA
PWWP3A	up	mRNA
ARMC9	up	mRNA
LSM8	down	mRNA
PCK2	up	mRNA
ERGIC2	down	mRNA
ZNF385A	up	mRNA
PDCD4	down	mRNA
PKD1	up	mRNA
MRPL40	down	mRNA
EBI3	up	mRNA
TMEM88	down	mRNA
HOXD4	down	mRNA
SOCS2	down	mRNA
TRIM11	up	mRNA
SCX	up	mRNA
RPSA	down	mRNA
RPL11	down	mRNA
GON7	down	mRNA
LYNX1	up	mRNA
SPATC1L	up	mRNA
DNHD1	up	mRNA
DVL2	up	mRNA
PELP1	up	mRNA
BLVRA	down	mRNA
MPHOSPH6	down	mRNA
PLAUR	up	mRNA
PSMG1	down	mRNA
RIDA	down	mRNA
STARD10	up	mRNA
TBC1D2	up	mRNA
DENND2A	up	mRNA
RPS20	down	mRNA
PLAGL1	down	mRNA
TTK	down	mRNA
BET1	down	mRNA
CETN2	down	mRNA
B3GNT2	down	mRNA
APOO	down	mRNA
HIBCH	down	mRNA
NLRX1	up	mRNA
PSMB4	down	mRNA
DLGAP5	down	mRNA
ISYNA1	up	mRNA
FDX1	down	mRNA
FGFR4	up	mRNA
LY96	down	mRNA
NSMCE4A	down	mRNA
C2CD4A	up	mRNA
MRPL33	down	mRNA
MAP3K10	up	mRNA
CDKN2AIPNL	down	mRNA
MRPS21	down	mRNA
RPP30	down	mRNA
PSMA4	down	mRNA
MYD88	down	mRNA
SLC15A3	down	mRNA
CCDC25	down	mRNA
